Have used the tool in the past, want to use the tool, percentage
Eclipse,Jetbrains,48.71
Eclipse,IPython,14.99
Eclipse,Eclipse,85.28
Eclipse,Atom,15.64
Eclipse,NetBeans,17.27
Eclipse,NextMate,1.94
Eclipse,Emacs,5.13
Eclipse,RStudio,5.64
Eclipse,Android Studio,29.88
Eclipse,Spyder,5.51
Eclipse,Xcode,10.40
Eclipse,Qt Creator,6.02
Atom,Notepad++,38.40
Atom,Nano,18.10
Atom,Visual Studio Code,65.71
Atom,Other,3.23
Atom,Sublime,29.98
Atom,Visual Studio,33.53
Atom,(Neo)vim,31.18
Atom,Jetbrains,54.55
Atom,IPython,21.85
Atom,Eclipse,23.92
Atom,Atom,80.98
Atom,NetBeans,13.08
Atom,NextMate,2.59
Atom,Emacs,5.42
Atom,RStudio,8.93
Atom,Android Studio,32.10
Atom,Spyder,7.66
Atom,Xcode,16.55
Atom,Qt Creator,5.10
NetBeans,Notepad++,58.43
NetBeans,Nano,16.76
NetBeans,Visual Studio Code,72.04
NetBeans,Other,10.19
NetBeans,Sublime,30.19
NetBeans,Visual Studio,48.98
NetBeans,(Neo)vim,26.30
NetBeans,Jetbrains,55.74
NetBeans,IPython,20.09
NetBeans,Eclipse,41.02
NetBeans,Atom,20.19
NetBeans,NetBeans,79.26
NetBeans,NextMate,4.26
NetBeans,Emacs,8.52
NetBeans,RStudio,9.35
NetBeans,Android Studio,41.02
NetBeans,Spyder,8.89
NetBeans,Xcode,14.63
NetBeans,Qt Creator,9.07
NextMate,Notepad++,38.46
NextMate,Nano,24.08
NextMate,Visual Studio Code,69.23
NextMate,Other,14.72
NextMate,Sublime,36.45
NextMate,Visual Studio,37.46
NextMate,(Neo)vim,43.48
NextMate,Jetbrains,59.87
NextMate,IPython,26.42
NextMate,Eclipse,26.09
NextMate,Atom,25.75
NextMate,NetBeans,18.39
NextMate,NextMate,78.60
NextMate,Emacs,19.40
NextMate,RStudio,17.06
NextMate,Android Studio,33.78
NextMate,Spyder,15.72
NextMate,Xcode,38.13
NextMate,Qt Creator,13.71
Emacs,Notepad++,15.63
Emacs,Nano,13.17
Emacs,Visual Studio Code,53.00
Emacs,Other,2.05
Emacs,Sublime,11.89
Emacs,Visual Studio,18.41
Emacs,(Neo)vim,43.40
Emacs,Jetbrains,38.68
Emacs,IPython,16.40
Emacs,Eclipse,10.50
Emacs,Atom,9.50
Emacs,NetBeans,4.51
Emacs,NextMate,2.36
Emacs,Emacs,77.54
Emacs,RStudio,5.93
Emacs,Android Studio,13.86
Emacs,Spyder,3.57
Emacs,Xcode,9.46
Emacs,Qt Creator,5.03
RStudio,Notepad++,38.03
RStudio,Nano,14.29
RStudio,Visual Studio Code,65.29
RStudio,Other,4.55
RStudio,Sublime,22.71
RStudio,Visual Studio,31.19
RStudio,(Neo)vim,27.81
RStudio,Jetbrains,44.44
RStudio,IPython,46.58
RStudio,Eclipse,18.36
RStudio,Atom,16.84
RStudio,NetBeans,10.21
RStudio,NextMate,4.00
RStudio,Emacs,8.83
RStudio,RStudio,77.23
RStudio,Android Studio,18.15
RStudio,Spyder,17.32
RStudio,Xcode,10.28
RStudio,Qt Creator,5.73
Android Studio,Notepad++,35.93
Android Studio,Nano,12.17
Android Studio,Visual Studio Code,77.30
Android Studio,Other,3.14
Android Studio,Sublime,23.75
Android Studio,Visual Studio,38.86
Android Studio,(Neo)vim,21.92
Android Studio,Jetbrains,57.18
Android Studio,IPython,13.01
Android Studio,Eclipse,21.17
Android Studio,Atom,15.75
Android Studio,NetBeans,12.01
Android Studio,NextMate,1.06
Android Studio,Emacs,2.88
Android Studio,RStudio,3.65
Android Studio,Android Studio,75.85
Android Studio,Spyder,3.63
Android Studio,Xcode,24.09
Android Studio,Qt Creator,4.42
Spyder,Notepad++,52.69
Spyder,Nano,17.92
Spyder,Visual Studio Code,67.98
Spyder,Other,5.97
Spyder,Sublime,33.45
Spyder,Visual Studio,41.34
Spyder,(Neo)vim,32.14
Spyder,Jetbrains,53.17
Spyder,IPython,58.90
Spyder,Eclipse,28.67
Spyder,Atom,24.97
Spyder,NetBeans,15.53
Spyder,NextMate,5.50
Spyder,Emacs,7.41
Spyder,RStudio,25.45
Spyder,Android Studio,27.48
Spyder,Spyder,75.15
Spyder,Xcode,10.39
Spyder,Qt Creator,11.11
Xcode,Notepad++,27.16
Xcode,Nano,12.08
Xcode,Visual Studio Code,78.25
Xcode,Other,3.11
Xcode,Sublime,25.48
Xcode,Visual Studio,35.07
Xcode,(Neo)vim,24.26
Xcode,Jetbrains,48.20
Xcode,IPython,12.04
Xcode,Eclipse,17.60
Xcode,Atom,16.38
Xcode,NetBeans,10.05
Xcode,NextMate,2.63
Xcode,Emacs,4.12
Xcode,RStudio,3.63
Xcode,Android Studio,47.08
Xcode,Spyder,3.27
Xcode,Xcode,64.52
Xcode,Qt Creator,3.70
Qt Creator,Notepad++,48.94
Qt Creator,Nano,24.88
Qt Creator,Visual Studio Code,73.16
Qt Creator,Other,7.59
Qt Creator,Sublime,26.02
Qt Creator,Visual Studio,49.92
Qt Creator,(Neo)vim,39.48
Qt Creator,Jetbrains,53.51
Qt Creator,IPython,22.35
Qt Creator,Eclipse,26.75
Qt Creator,Atom,19.25
Qt Creator,NetBeans,13.70
Qt Creator,NextMate,3.43
Qt Creator,Emacs,10.11
Qt Creator,RStudio,7.42
Qt Creator,Android Studio,33.36
Qt Creator,Spyder,9.46
Qt Creator,Xcode,14.11
Qt Creator,Qt Creator,63.54
