group,filter,Visual Studio Code,Jetbrains,Visual Studio,(Neo)vim,Notepad++,Android Studio,Sublime,Xcode,Eclipse,IPython,Nano,Atom,Emacs,Other,NetBeans,RStudio,Qt Creator,Spyder,NextMate
Used in the past (Professional),pro,16348,8728,5482,4972,4003,2721,2345,1672,1517,1336,1145,956,950,667,510,294,286,163,86
Used in the past (All),all,21293,10632,6976,6398,5208,3499,3094,1978,2005,2053,1558,1496,1221,809,693,609,396,320,109
Want to use (Professional),pro,16689,9192,4295,5366,2955,2137,1661,1572,658,1231,844,483,1110,611,181,204,230,104,63
Want to use (All),all,21730,11003,5473,6960,3732,2884,2148,1962,868,1914,1150,785,1427,746,261,453,326,204,80
