rank,handle,points,penalty,successfulHackCount,unsuccessfulHackCount,oldDisplayRating,newDisplayRating,points_A,rejectedAttemptCount_A,time_A,points_B,rejectedAttemptCount_B,time_B,points_C,rejectedAttemptCount_C,time_C,points_D,rejectedAttemptCount_D,time_D,points_E,rejectedAttemptCount_E,time_E,OldTrueRating,NewTrueRating
37,ashkan_d13,4130.0,0,0,1,1686,1778,486.0,0,473.0,916.0,0,1289.0,1632.0,0,2764.0,1146.0,3,5302.0,0.0,0,,1686,1778
38,bigmingod,4120.0,0,1,0,1510,1741,414.0,0,2583.0,764.0,0,3594.0,1768.0,0,1786.0,1074.0,3,5858.0,0.0,0,,1510,1741
39,I.Smirn0ff,4110.0,0,0,0,1534,1748,480.0,0,624.0,888.0,0,1683.0,1648.0,0,2663.0,1094.0,1,6468.0,0.0,0,,1534,1748
40,ntfactorial,4100.0,0,0,0,1500,1794,478.0,0,673.0,854.0,1,1454.0,1496.0,0,3786.0,1272.0,0,5498.0,0.0,0,,1500,1794
41,win_for_misaka,4098.0,0,0,0,1660,1773,468.0,0,1018.0,840.0,0,2412.0,1520.0,0,3656.0,1270.0,1,5105.0,0.0,0,,1660,1773
42,McGinn,4096.0,0,0,0,1488,1732,474.0,0,800.0,892.0,0,1637.0,1608.0,0,2947.0,1122.0,3,5482.0,0.0,0,,1488,1732
43,ecapia,4086.0,0,0,0,1661,1772,476.0,0,764.0,860.0,0,2116.0,1496.0,0,3791.0,1254.0,1,5244.0,0.0,0,,1661,1772
44,CST14-Zpw987,4084.0,0,0,0,1696,1775,484.0,0,532.0,840.0,0,2407.0,1544.0,0,3466.0,1216.0,0,5919.0,0.0,0,,1696,1775
45,biu,4066.0,0,0,0,1345,1667,474.0,0,798.0,864.0,0,2048.0,1488.0,0,3869.0,1240.0,0,5750.0,0.0,0,,1345,1667
46,ERIC12138,4060.0,0,0,0,1398,1694,206.0,2,5825.0,628.0,0,5615.0,1708.0,2,1467.0,1518.0,1,3254.0,0.0,0,,1398,1694
47,droidkid,4052.0,0,0,0,1654,1770,412.0,1,1194.0,840.0,0,2429.0,1560.0,0,3330.0,1240.0,0,5735.0,0.0,0,,1654,1770
48,ilim,4050.0,0,0,0,1480,1728,486.0,0,471.0,900.0,0,1514.0,1472.0,0,3992.0,1192.0,0,6095.0,0.0,0,,1480,1728
49,dnvtmf,4048.0,0,0,0,1655,1770,482.0,0,565.0,880.0,0,1858.0,1504.0,0,3722.0,1182.0,1,5765.0,0.0,0,,1655,1770
50,nikitaevg,4040.0,0,0,0,1610,1762,484.0,0,520.0,908.0,0,1388.0,1468.0,2,3250.0,1180.0,2,5432.0,0.0,0,,1610,1762
51,Minacor,4038.0,0,0,0,1625,1764,480.0,0,619.0,786.0,1,2484.0,1568.0,0,3292.0,1204.0,2,5269.0,0.0,0,,1625,1764
52,yum,4026.0,0,0,0,1506,1736,406.0,0,2844.0,836.0,0,2499.0,1488.0,0,3892.0,1296.0,0,5322.0,0.0,0,,1506,1736
53,Sergiu,4024.0,0,0,0,1675,1770,494.0,0,235.0,952.0,0,757.0,1490.0,3,2707.0,1088.0,4,5351.0,0.0,0,,1675,1770
54,sha384,4020.0,0,0,0,1606,1760,488.0,0,367.0,928.0,0,1110.0,1616.0,0,2896.0,988.0,2,6881.0,0.0,0,,1606,1760
55,bvyujw845,4010.0,0,0,0,1542,1745,474.0,0,780.0,812.0,0,2823.0,1452.0,2,3369.0,1272.0,0,5518.0,0.0,0,,1542,1745
56,maopao,4008.0,0,0,0,1550,1747,424.0,1,810.0,824.0,0,2677.0,1528.0,0,3542.0,1232.0,0,5808.0,0.0,0,,1550,1747
57,GodMax,4000.0,0,0,0,1693,1770,476.0,0,725.0,900.0,0,1547.0,1480.0,0,3906.0,1144.0,0,6453.0,0.0,0,,1693,1770
58,raser,3980.0,0,0,1,1671,1768,0.0,1,,896.0,0,1584.0,1672.0,0,2501.0,1462.0,1,3683.0,0.0,0,,1671,1768
59,whalyzh,3978.0,0,0,0,1500,1789,462.0,0,1179.0,864.0,0,2092.0,1462.0,1,3677.0,1190.0,1,5745.0,0.0,0,,1500,1789
60,andreyklimkin,3966.0,0,0,0,1586,1754,298.0,2,3107.0,744.0,0,3880.0,1288.0,0,5363.0,1636.0,2,2003.0,0.0,0,,1586,1754
61,igrass,3958.0,0,0,0,1594,1755,478.0,0,693.0,888.0,0,1699.0,1424.0,0,4332.0,1168.0,0,6244.0,0.0,0,,1594,1755
62,RomeoFantastik,3954.0,0,0,0,1650,1764,482.0,0,554.0,716.0,2,2774.0,1512.0,0,3714.0,1244.0,2,4977.0,0.0,0,,1650,1764
63,orlov,3952.0,0,0,0,1612,1758,482.0,0,554.0,846.0,1,1597.0,1440.0,0,4251.0,1184.0,0,6128.0,0.0,0,,1612,1758
64,AllCatsAreBeautiful,3950.0,0,0,0,1688,1767,488.0,0,386.0,932.0,0,1031.0,948.0,6,5651.0,1582.0,1,2764.0,0.0,0,,1688,1767
65,KeyID,3946.0,0,0,0,1610,1757,416.0,1,1024.0,876.0,0,1900.0,1398.0,1,4178.0,1256.0,0,5601.0,0.0,0,,1610,1757
66,midrux,3944.0,0,0,0,1482,1724,482.0,0,576.0,748.0,2,2332.0,1520.0,0,3645.0,1194.0,3,4978.0,0.0,0,,1482,1724
67,terribleimposter,3942.0,0,0,0,1694,1766,484.0,0,517.0,790.0,1,2410.0,1608.0,0,2967.0,1060.0,2,6351.0,0.0,0,,1694,1766
68,mamadak,3940.0,0,0,2,1577,1750,482.0,0,560.0,776.0,0,3404.0,1454.0,1,3762.0,1328.0,0,5064.0,0.0,0,,1577,1750
69,z309241990,3936.0,0,0,0,1565,1747,432.0,1,570.0,916.0,0,1261.0,1560.0,0,3312.0,1028.0,2,6580.0,0.0,0,,1565,1747
70,zentorwie,3934.0,0,0,0,1698,1764,480.0,0,613.0,864.0,0,2063.0,1358.0,1,4494.0,1232.0,0,5785.0,0.0,0,,1698,1764
71,PhoneMicrowaveOven,3928.0,0,0,1,1500,1786,476.0,0,720.0,872.0,0,1927.0,1438.0,1,3858.0,1192.0,0,6083.0,0.0,0,,1500,1786
72,No0oB,3918.0,0,1,1,1672,1762,468.0,0,1011.0,792.0,0,3123.0,1384.0,0,4625.0,1224.0,0,5853.0,0.0,0,,1672,1762
73,preeminenth,3892.0,0,1,0,1677,1762,358.0,2,1274.0,844.0,0,2373.0,1416.0,0,4413.0,1174.0,1,5831.0,0.0,0,,1677,1762
74,Surenbayar,3880.0,0,0,0,1694,1763,428.0,1,688.0,860.0,0,2159.0,1418.0,3,3260.0,1174.0,1,5830.0,0.0,0,,1694,1763
75,Lightless,3874.0,0,0,0,1638,1757,486.0,0,424.0,940.0,0,927.0,1500.0,2,3028.0,948.0,2,7191.0,0.0,0,,1638,1757
76,v11,3872.0,0,0,0,1485,1722,474.0,0,790.0,856.0,0,2211.0,1520.0,0,3602.0,1022.0,1,7004.0,0.0,0,,1485,1722
76,CrossLife,3872.0,0,0,0,1500,1784,468.0,0,961.0,800.0,0,3035.0,1390.0,1,4224.0,1214.0,1,5546.0,0.0,0,,1500,1784
78,kadircet,3866.0,0,0,0,1541,1738,482.0,0,597.0,794.0,1,2353.0,1448.0,0,4164.0,1142.0,1,6073.0,0.0,0,,1541,1738
79,92anurag,3860.0,0,0,0,1658,1758,476.0,0,760.0,856.0,0,2200.0,1448.0,0,4159.0,1080.0,0,6903.0,0.0,0,,1658,1758
80,TheRealRoman,3856.0,0,1,0,1676,1759,424.0,1,806.0,612.0,0,5823.0,1456.0,0,4089.0,1264.0,0,5548.0,0.0,0,,1676,1759
81,mhussain,3854.0,0,0,0,1500,1783,220.0,2,5455.0,798.0,1,2281.0,1534.0,1,3138.0,1302.0,1,4863.0,0.0,0,,1500,1783
81,Quang,3854.0,0,0,1,1651,1757,420.0,1,941.0,820.0,0,2756.0,1504.0,0,3764.0,1160.0,0,6329.0,0.0,0,,1651,1757
83,grxexr315,3838.0,0,0,0,1500,1783,436.0,1,447.0,900.0,0,1558.0,1608.0,0,2999.0,894.0,5,6430.0,0.0,0,,1500,1783
84,shanquan2,3830.0,0,0,0,1699,1759,478.0,0,703.0,740.0,2,2458.0,1446.0,1,3833.0,1166.0,1,5891.0,0.0,0,,1699,1759
85,white_pony,3824.0,0,0,0,1466,1713,468.0,0,967.0,868.0,0,2029.0,1352.0,0,4897.0,1136.0,0,6497.0,0.0,0,,1466,1713
86,haruki57,3820.0,0,0,0,1598,1747,488.0,0,389.0,800.0,2,1559.0,1398.0,1,4173.0,1134.0,1,6127.0,0.0,0,,1598,1747
87,Moriya_Suwako,3818.0,0,0,0,1500,1782,482.0,0,594.0,880.0,0,1813.0,1430.0,1,3954.0,1026.0,3,6216.0,0.0,0,,1500,1782
87,sunwback,3818.0,0,0,0,1623,1751,484.0,0,536.0,864.0,0,2069.0,1256.0,0,5610.0,1214.0,1,5578.0,0.0,0,,1623,1751
89,hargcx996,3812.0,0,0,0,1437,1700,424.0,1,795.0,848.0,0,2337.0,1142.0,1,6108.0,1398.0,1,4192.0,0.0,0,,1437,1700
90,devendra_iiti,3810.0,0,0,0,1580,1743,478.0,0,697.0,820.0,0,2757.0,1400.0,0,4541.0,1112.0,0,6697.0,0.0,0,,1580,1743
91,shivatejesh,3800.0,0,0,0,1683,1755,466.0,0,1053.0,832.0,0,2529.0,1286.0,1,5017.0,1216.0,0,5914.0,0.0,0,,1683,1755
92,abhi170893,3760.0,0,0,0,1642,1751,480.0,0,616.0,860.0,0,2115.0,1192.0,0,6119.0,1228.0,2,5061.0,0.0,0,,1642,1751
93,lkolt,3756.0,0,0,0,1577,1741,232.0,1,6551.0,862.0,1,1365.0,1192.0,0,6092.0,1470.0,1,3622.0,0.0,0,,1577,1741
94,sushant,3752.0,0,0,0,1659,1752,476.0,0,763.0,832.0,0,2552.0,1488.0,0,3897.0,956.0,2,7121.0,0.0,0,,1659,1752
94,lawson,3752.0,0,0,0,1506,1723,480.0,0,646.0,840.0,0,2439.0,1446.0,1,3781.0,986.0,3,6527.0,0.0,0,,1506,1723
96,f1u77y,3744.0,0,0,0,1611,1746,376.0,0,3758.0,800.0,0,3044.0,1720.0,0,2144.0,848.0,4,7192.0,0.0,0,,1611,1746
97,scf0920,3740.0,0,0,0,1512,1724,478.0,0,670.0,810.0,1,2102.0,1382.0,1,4291.0,1070.0,1,6622.0,0.0,0,,1512,1724
98,krsrk,3732.0,0,0,0,1612,1745,472.0,0,896.0,726.0,1,3395.0,1448.0,0,4196.0,1086.0,1,6531.0,0.0,0,,1612,1745
99,_iris_,3714.0,0,0,0,1640,1749,468.0,0,1016.0,852.0,0,2223.0,1464.0,0,4024.0,930.0,3,6936.0,0.0,0,,1640,1749
99,Xerx,3714.0,0,0,1,1438,1698,0.0,1,,836.0,0,2484.0,1424.0,0,4364.0,1504.0,0,3764.0,0.0,0,,1438,1698
101,Eran,3702.0,0,5,0,1640,1748,490.0,0,333.0,936.0,0,979.0,1776.0,0,1697.0,0.0,0,,0.0,0,,1640,1748
102,alanM,3694.0,0,0,0,1652,1748,472.0,0,889.0,776.0,0,3385.0,1416.0,0,4438.0,1030.0,1,6913.0,0.0,0,,1652,1748
103,Tobiichi.Origami,3692.0,0,0,0,1500,1777,0.0,1,,880.0,0,1806.0,1526.0,1,3222.0,1286.0,1,5011.0,0.0,0,,1500,1777
104,abhishek1995,3632.0,0,0,0,1666,1749,240.0,1,6349.0,808.0,0,2908.0,1384.0,0,4630.0,1200.0,0,6049.0,0.0,0,,1666,1749
